Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
24-Mar-26,360ONE,989.3,985.35,  0.00400071,  0.02189151,  0.02183859,  0.41722560,993.2,988.2,  0.00504695,  0.02181028,  0.02175865,  0.41569845,  0.02183859,  0.41722560
24-Mar-26,ABB,6161.95,6041.4,  0.01975751,  0.01933443,  0.01933656,  0.36942453,6156.5,6029,  0.02092727,  0.01931846,  0.01932676,  0.36923728,  0.01933656,  0.36942453
24-Mar-26,ABCAPITAL,302.4,294.95,  0.02494479,  0.02010098,  0.02012811,  0.38454707,303.55,294.65,  0.02975813,  0.02026003,  0.02031860,  0.38818625,  0.02031860,  0.38818625
24-Mar-26,ADANIENSOL,967.35,947,  0.02126128,  0.02819868,  0.02816832,  0.53815503,969.4,943.6,  0.02697498,  0.02838822,  0.02838131,  0.54222418,  0.02838131,  0.54222418
24-Mar-26,ADANIENT,1817.95,1833, -0.00824448,  0.02466348,  0.02460871,  0.47014867,1823.5,1813.1,  0.00571964,  0.02539669,  0.02533631,  0.48404953,  0.02533631,  0.48404953
24-Mar-26,ADANIGREEN,839.55,816.5,  0.02783912,  0.02988765,  0.02987773,  0.57081322,839.15,816.4,  0.02748504,  0.03018157,  0.03016873,  0.57637285,  0.03016873,  0.57637285
24-Mar-26,ADANIPORTS,1344.2,1303.6,  0.03066937,  0.02062047,  0.02068277,  0.39514380,1345.2,1303.6,  0.03141303,  0.02055496,  0.02062356,  0.39401261,  0.02068277,  0.39514380
24-Mar-26,ALKEM,5297,5144.55,  0.02920272,  0.01459485,  0.01470405,  0.28092039,5286.5,5136,  0.02888183,  0.01472239,  0.01482690,  0.28326758,  0.01482690,  0.28326758
24-Mar-26,AMBER,6452.05,6289.1,  0.02557993,  0.02757596,  0.02756627,  0.52665294,6470.5,6276.5,  0.03044089,  0.02759698,  0.02761187,  0.52752401,  0.02761187,  0.52752401
24-Mar-26,AMBUJACEM,407.55,395.35,  0.03039218,  0.01803256,  0.01811526,  0.34609152,408.6,395.85,  0.03170133,  0.01820648,  0.01829884,  0.34959881,  0.01829884,  0.34959881
24-Mar-26,ANGELONE,230.45,220.9,  0.04232381,  0.02834446,  0.02843149,  0.54318280,228.32,218.68,  0.04313868,  0.02856080,  0.02865216,  0.54739870,  0.02865216,  0.54739870
