TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-22,2026-05-22,FO,NSE,STF,61097,,ABCAPITAL,,2026-07-28,2026-07-28,,,ABCAPITAL26JULFUT,353.00,362.30,353.00,361.80,362.30,353.80,357.30,361.80,1525200,-9300,10,11092265.00,10,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,76172,,ABCAPITAL,,2026-05-26,2026-05-26,410.00,CE,ABCAPITAL26MAY410CE,0.05,0.05,0.05,0.05,0.05,0.05,357.30,0.00,279000,-6200,6,7626930.00,4,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,76174,,ABCAPITAL,,2026-05-26,2026-05-26,420.00,CE,ABCAPITAL26MAY420CE,0.05,0.05,0.05,0.05,0.05,0.05,357.30,0.00,96100,-9300,3,3906465.00,3,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83367,,ABCAPITAL,,2026-06-30,2026-06-30,300.00,CE,ABCAPITAL26JUN300CE,58.50,60.00,58.50,60.00,60.00,21.75,357.30,60.00,6200,6200,2,2227350.00,2,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83373,,ABCAPITAL,,2026-06-30,2026-06-30,330.00,CE,ABCAPITAL26JUN330CE,28.50,33.90,28.50,33.90,33.90,30.10,357.30,33.90,55800,12400,5,5586665.00,5,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83381,,ABCAPITAL,,2026-06-30,2026-06-30,370.00,CE,ABCAPITAL26JUN370CE,7.00,10.30,7.00,10.15,10.00,7.75,357.30,10.15,787400,201500,284,333916500.00,228,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83330,,ABCAPITAL,,2026-05-26,2026-05-26,325.00,PE,ABCAPITAL26MAY325PE,0.20,0.20,0.05,0.05,0.05,0.30,357.30,0.05,142600,-40300,32,32251935.00,27,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65758,,ABCAPITAL,,2026-07-28,2026-07-28,410.00,CE,ABCAPITAL26JUL410CE,0.00,0.00,0.00,7.90,0.00,7.90,357.30,9.15,0,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65624,,ABCAPITAL,,2026-06-30,2026-06-30,395.00,CE,ABCAPITAL26JUN395CE,0.00,0.00,0.00,3.00,3.00,3.00,357.30,7.10,6200,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65618,,ABCAPITAL,,2026-06-30,2026-06-30,365.00,CE,ABCAPITAL26JUN365CE,9.05,12.10,9.00,12.10,12.10,9.20,357.30,12.10,52700,0,27,31454150.00,26,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65598,,ABCAPITAL,,2026-06-30,2026-06-30,315.00,CE,ABCAPITAL26JUN315CE,0.00,0.00,0.00,37.60,0.00,37.60,357.30,48.20,0,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,76158,,ABCAPITAL,,2026-05-26,2026-05-26,400.00,CE,ABCAPITAL26MAY400CE,0.10,0.15,0.05,0.10,0.05,0.10,357.30,0.10,2830300,-158100,177,219533475.00,119,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,76066,,ABCAPITAL,,2026-05-26,2026-05-26,310.00,CE,ABCAPITAL26MAY310CE,0.00,0.00,0.00,41.65,41.65,41.65,357.30,47.50,27900,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83383,,ABCAPITAL,,2026-06-30,2026-06-30,380.00,CE,ABCAPITAL26JUN380CE,4.85,6.85,4.85,6.85,6.80,5.20,357.30,6.85,226300,65100,90,107657885.00,81,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,83385,,ABCAPITAL,,2026-06-30,2026-06-30,400.00,CE,ABCAPITAL26JUN400CE,2.15,3.10,2.05,3.00,3.00,2.40,357.30,3.00,499100,-12400,198,247243910.00,161,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,76078,,ABCAPITAL,,2026-05-26,2026-05-26,370.00,CE,ABCAPITAL26MAY370CE,0.50,0.85,0.35,0.55,0.50,0.75,357.30,0.55,1230700,-372000,549,630612850.00,416,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,35356,,ABCAPITAL,,2026-05-26,2026-05-26,385.00,CE,ABCAPITAL26MAY385CE,0.15,0.15,0.05,0.15,0.15,0.20,357.30,0.15,483600,-213900,179,213705475.00,111,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65755,,ABCAPITAL,,2026-07-28,2026-07-28,390.00,PE,ABCAPITAL26JUL390PE,0.00,0.00,0.00,57.90,0.00,57.90,357.30,42.15,0,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65751,,ABCAPITAL,,2026-07-28,2026-07-28,370.00,PE,ABCAPITAL26JUL370PE,0.00,0.00,0.00,43.60,0.00,43.60,357.30,29.45,0,0,0,0.00,0,F1,3100,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,65745,,ABCAPITAL,,2026-07-28,2026-07-28,350.00,PE,ABCAPITAL26JUL350PE,0.00,0.00,0.00,16.40,16.40,16.40,357.30,19.10,12400,0,0,0.00,0,F1,3100,,,,,
