Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
22-May-26,360ONE,1112.4,1111.8,  0.00053952,  0.02154868,  0.02149488,  0.41065903,1114.2,1112.8,  0.00125730,  0.02160068,  0.02154681,  0.41165120,  0.02154681,  0.41165120
22-May-26,ABB,6689.5,6598,  0.01377256,  0.02037790,  0.02035024,  0.38879072,6663,6583,  0.01207927,  0.02037592,  0.02034290,  0.38865059,  0.02035024,  0.38879072
22-May-26,ABCAPITAL,357.3,349.4,  0.02235837,  0.02124780,  0.02125352,  0.40604794,358,350,  0.02259983,  0.02143157,  0.02143752,  0.40956322,  0.02143752,  0.40956322
22-May-26,ADANIENSOL,1367.9,1342.1,  0.01904117,  0.02876641,  0.02872604,  0.54881019,1369,1342.9,  0.01924909,  0.02891940,  0.02887908,  0.55173396,  0.02887908,  0.55173396
22-May-26,ADANIENT,2717.3,2697.5,  0.00731332,  0.02533616,  0.02527801,  0.48293572,2721,2698.2,  0.00841458,  0.02584028,  0.02578246,  0.49257327,  0.02578246,  0.49257327
22-May-26,ADANIGREEN,1362.3,1358.3,  0.00294053,  0.03027342,  0.03019836,  0.57693882,1364.9,1358.8,  0.00447921,  0.03044511,  0.03037048,  0.58022713,  0.03037048,  0.58022713
22-May-26,ADANIPORTS,1786.9,1793.3, -0.00357522,  0.02087910,  0.02082845,  0.39792692,1790.7,1795.3, -0.00256553,  0.02079566,  0.02074441,  0.39632143,  0.02082845,  0.39792692
22-May-26,ADANIPOWER,219.32,219.33, -0.00004559,  0.02721259,  0.02714438,  0.51859267,219.78,219.31,  0.00214079,  0.02717076,  0.02710317,  0.51780528,  0.02714438,  0.51859267
22-May-26,ALKEM,5404.5,5501.5, -0.01778884,  0.01508530,  0.01510014,  0.28848786,5427.5,5521, -0.01708038,  0.01502768,  0.01503860,  0.28731209,  0.01510014,  0.28848786
22-May-26,AMBER,7359,7538, -0.02403284,  0.03035306,  0.03032476,  0.57935381,7370,7574, -0.02730362,  0.03077224,  0.03075586,  0.58758984,  0.03075586,  0.58758984
22-May-26,AMBUJACEM,436.35,436.45, -0.00022915,  0.01882546,  0.01877840,  0.35876081,437.4,436.75,  0.00148716,  0.01901666,  0.01896926,  0.36240725,  0.01896926,  0.36240725
22-May-26,ANGELONE,339.35,339.65, -0.00088365,  0.02966541,  0.02959128,  0.56534056,340.4,340.55, -0.00044056,  0.02970458,  0.02963021,  0.56608431,  0.02963021,  0.56608431
22-May-26,APLAPOLLO,1880.5,1860.6,  0.01063868,  0.01877277,  0.01874097,  0.35804565,1885.3,1864,  0.01136224,  0.01854709,  0.01851798,  0.35378550,  0.01874097,  0.35804565
22-May-26,APOLLOHOSP,8362.5,8308.5,  0.00647834,  0.01309940,  0.01307447,  0.24978749,8365,8324,  0.00491343,  0.01287614,  0.01284841,  0.24546862,  0.01307447,  0.24978749
22-May-26,ASHOKLEY,158.21,154.48,  0.02385863,  0.02212331,  0.02213231,  0.42283711,158.69,154.74,  0.02520632,  0.02160297,  0.02162252,  0.41309765,  0.02213231,  0.42283711
22-May-26,ASIANPAINT,2639.8,2598.8,  0.01565336,  0.01538346,  0.01538479,  0.29392608,2644.1,2601.1,  0.01639631,  0.01530772,  0.01531348,  0.29256355,  0.01538479,  0.29392608
22-May-26,ASTRAL,1541.7,1480,  0.04084362,  0.01889984,  0.01907236,  0.36437697,1547.6,1485.8,  0.04075200,  0.01859805,  0.01877403,  0.35867733,  0.01907236,  0.36437697
22-May-26,AUBANK,977.9,958.7,  0.01982922,  0.01959059,  0.01959176,  0.37430004,979.5,960.2,  0.01990064,  0.01891916,  0.01892407,  0.36154390,  0.01959176,  0.37430004
22-May-26,AUROPHARMA,1463.5,1546.7, -0.05529280,  0.01719910,  0.01759595,  0.33617013,1463.3,1547.8, -0.05614041,  0.01721533,  0.01762518,  0.33672854,  0.01762518,  0.33672854
22-May-26,AXISBANK,1285.4,1253.3,  0.02528988,  0.01548754,  0.01555180,  0.29711679,1285.9,1252.8,  0.02607782,  0.01524976,  0.01532310,  0.29274746,  0.01555180,  0.29711679
