Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
07-May-26,360ONE,1111.7,1084.1,  0.02514023,  0.02185150,  0.02186922,  0.41781083,1117.6,1091.8,  0.02335582,  0.02188761,  0.02189525,  0.41830823,  0.02189525,  0.41830823
07-May-26,ABB,7188,7182.5,  0.00076546,  0.01944457,  0.01939594,  0.37055891,7168,7181, -0.00181197,  0.01941764,  0.01936934,  0.37005066,  0.01939594,  0.37055891
07-May-26,ABCAPITAL,369,369.3, -0.00081268,  0.02142535,  0.02137190,  0.40830955,370.95,371.3, -0.00094308,  0.02161014,  0.02155619,  0.41183048,  0.02155619,  0.41183048
07-May-26,ADANIENSOL,1387.1,1407.3, -0.01445774,  0.02921769,  0.02916242,  0.55714727,1395.3,1416.8, -0.01529136,  0.02937072,  0.02931716,  0.56010357,  0.02931716,  0.56010357
07-May-26,ADANIENT,2513.6,2540.2, -0.01052683,  0.02501790,  0.02496647,  0.47698372,2526,2553.3, -0.01074962,  0.02560567,  0.02555288,  0.48818703,  0.02555288,  0.48818703
07-May-26,ADANIGREEN,1365,1353,  0.00883008,  0.03043774,  0.03036804,  0.58018049,1373,1362.2,  0.00789709,  0.03064745,  0.03057590,  0.58415169,  0.03057590,  0.58415169
07-May-26,ADANIPORTS,1732.8,1748.3, -0.00890529,  0.02095348,  0.02091055,  0.39949557,1741.4,1758.1, -0.00954429,  0.02094128,  0.02089983,  0.39929063,  0.02091055,  0.39949557
07-May-26,ADANIPOWER,230.19,229.12,  0.00465917,  0.02731698,  0.02725064,  0.52062277,231.44,230.63,  0.00350597,  0.02727420,  0.02720702,  0.51978943,  0.02725064,  0.52062277
07-May-26,ALKEM,5590.5,5557,  0.00601033,  0.01528805,  0.01525556,  0.29145701,5584,5549,  0.00628763,  0.01524923,  0.01521759,  0.29073160,  0.01525556,  0.29145701
07-May-26,AMBER,8842.5,8661.5,  0.02068172,  0.02787657,  0.02784516,  0.53198111,8881.5,8737.5,  0.01634635,  0.02823239,  0.02818547,  0.53848263,  0.02818547,  0.53848263
07-May-26,AMBUJACEM,450.65,446.9,  0.00835613,  0.01898218,  0.01894380,  0.36192077,452,448.95,  0.00677066,  0.01916156,  0.01911971,  0.36528157,  0.01911971,  0.36528157
07-May-26,ANGELONE,322.6,316.85,  0.01798469,  0.02936968,  0.02932378,  0.56023012,324.2,318.5,  0.01773813,  0.02941935,  0.02937253,  0.56116146,  0.02937253,  0.56116146
07-May-26,APLAPOLLO,1973.7,1914.7,  0.03034900,  0.01896421,  0.01903804,  0.36372131,1978.2,1927.3,  0.02606728,  0.01876418,  0.01880763,  0.35931933,  0.01903804,  0.36372131
07-May-26,APOLLOHOSP,7837,7760.5,  0.00980934,  0.01301881,  0.01300476,  0.24845551,7859,7814.5,  0.00567839,  0.01280071,  0.01277505,  0.24406700,  0.01300476,  0.24845551
07-May-26,ASHOKLEY,170.78,167.8,  0.01760338,  0.02224509,  0.02222420,  0.42459280,171.38,168.83,  0.01499102,  0.02168716,  0.02165876,  0.41379008,  0.02222420,  0.42459280
07-May-26,ASIANPAINT,2530.6,2519,  0.00459443,  0.01523959,  0.01520507,  0.29049254,2542.2,2530.5,  0.00461294,  0.01524151,  0.01520674,  0.29052433,  0.01520674,  0.29052433
07-May-26,ASTRAL,1569.1,1576.2, -0.00451468,  0.01861181,  0.01856798,  0.35474078,1577.1,1583.4, -0.00398672,  0.01819776,  0.01815444,  0.34684008,  0.01856798,  0.35474078
07-May-26,AUBANK,1032.4,1024,  0.00816966,  0.01983268,  0.01979159,  0.37811779,1037.3,1031.2,  0.00589801,  0.01917637,  0.01913283,  0.36553225,  0.01979159,  0.37811779
07-May-26,AUROPHARMA,1478.7,1484, -0.00357782,  0.01758167,  0.01753962,  0.33509404,1485.2,1491.4, -0.00416583,  0.01759887,  0.01755728,  0.33543141,  0.01755728,  0.33543141
07-May-26,AXISBANK,1292.7,1294.3, -0.00123695,  0.01581495,  0.01577552,  0.30139093,1298.9,1304.1, -0.00399540,  0.01556507,  0.01552863,  0.29667413,  0.01577552,  0.30139093
07-May-26,BAJAJ-AUTO,10605,10319,  0.02733873,  0.01570709,  0.01578650,  0.30160060,10633.5,10361,  0.02596064,  0.01572632,  0.01579409,  0.30174560,  0.01579409,  0.30174560
07-May-26,BAJAJFINSV,1824.5,1836.1, -0.00633778,  0.01559437,  0.01556165,  0.29730490,1834.7,1846.9, -0.00662758,  0.01594045,  0.01590752,  0.30391270,  0.01590752,  0.30391270
07-May-26,BAJAJHLDNG,10596,10612, -0.00150886,  0.01985282,  0.01980330,  0.37834154,10636,10685, -0.00459642,  0.01989748,  0.01985034,  0.37924026,  0.01985034,  0.37924026
07-May-26,BAJFINANCE,972.75,980.75, -0.00819047,  0.01853231,  0.01849509,  0.35334810,975.05,985.45, -0.01060964,  0.01835741,  0.01832670,  0.35013108,  0.01849509,  0.35334810
07-May-26,BANDHANBNK,207.63,208.88, -0.00600227,  0.02485136,  0.02479278,  0.47366549,208.73,210.34, -0.00768372,  0.02483109,  0.02477483,  0.47332250,  0.02479278,  0.47366549
07-May-26,BANKBARODA,270.35,270.3,  0.00018496,  0.01897684,  0.01892933,  0.36164436,271.6,272.4, -0.00294118,  0.01910115,  0.01905437,  0.36403322,  0.01905437,  0.36403322
07-May-26,BANKEX,63099.03,63052.85,  0.00073213,  0.01140650,  0.01137814,  0.21737911,63302.35,63266.55,  0.00056570,  0.01155721,  0.01152839,  0.22024956,  0.01152839,  0.22024956
07-May-26,BANKINDIA,140.37,142.34, -0.01393677,  0.02213772,  0.02210432,  0.42230236,141.08,143.44, -0.01658972,  0.02219371,  0.02216920,  0.42354191,  0.02216920,  0.42354191
07-May-26,BANKNIFTY,56047.4,55981.05,  0.00118452,  0.01118727,  0.01115936,  0.21319923,56291.2,56348.6, -0.00101918,  0.01106465,  0.01103735,  0.21086823,  0.01115936,  0.21319923
07-May-26,BDL,1466.9,1401.4,  0.04567959,  0.02694387,  0.02706979,  0.51716752,1476,1402.2,  0.05129329,  0.02735016,  0.02752172,  0.52580165,  0.02752172,  0.52580165
07-May-26,BEL,439.45,438.2,  0.00284852,  0.01901252,  0.01896611,  0.36234694,442.15,439.95,  0.00498811,  0.01906977,  0.01902541,  0.36347989,  0.01902541,  0.36347989
07-May-26,BHARATFORG,1992.9,1873.8,  0.06162241,  0.02027311,  0.02068651,  0.39521518,2003.6,1883.8,  0.06165455,  0.02049437,  0.02090278,  0.39934710,  0.02090278,  0.39934710
07-May-26,BHARTIARTL,1826.6,1833.7, -0.00387947,  0.01280826,  0.01277908,  0.24414407,1834.1,1844, -0.00538323,  0.01236063,  0.01233576,  0.23567434,  0.01277908,  0.24414407
07-May-26,BHEL,406.45,385.95,  0.05175309,  0.02494363,  0.02514878,  0.48046672,407.6,387.65,  0.05018343,  0.02500234,  0.02519100,  0.48127330,  0.02519100,  0.48127330
07-May-26,BIOCON,382.25,380.6,  0.00432589,  0.01885660,  0.01881185,  0.35939990,384.55,382.15,  0.00626062,  0.01889894,  0.01885683,  0.36025928,  0.01885683,  0.36025928
07-May-26,BLUESTARCO,1748.6,1806.6, -0.03263116,  0.02214642,  0.02221107,  0.42434191,1753.9,1812.3, -0.03275488,  0.02241025,  0.02247384,  0.42936204,  0.02247384,  0.42936204
07-May-26,BOSCHLTD,37895,36645,  0.03354218,  0.01805431,  0.01816468,  0.34703572,38070,36925,  0.03053774,  0.01809276,  0.01817625,  0.34725674,  0.01817625,  0.34725674
07-May-26,BPCL,307.6,314.05, -0.02075197,  0.01943567,  0.01944259,  0.37145024,309.3,316.15, -0.02190510,  0.01948927,  0.01950205,  0.37258617,  0.01950205,  0.37258617
07-May-26,BRITANNIA,5814,5783,  0.00534622,  0.01289532,  0.01286862,  0.24585470,5859,5795.5,  0.01089719,  0.01287872,  0.01286952,  0.24587176,  0.01286952,  0.24587176
07-May-26,BSE,3963.6,3852.1,  0.02853425,  0.03035586,  0.03034705,  0.57977963,3985.4,3860.5,  0.03184097,  0.03029023,  0.03029821,  0.57884656,  0.03034705,  0.57977963
07-May-26,CAMS,835.85,815.85,  0.02421866,  0.02158121,  0.02159523,  0.41257629,838.4,814.8,  0.02855263,  0.02224231,  0.02227830,  0.42562633,  0.02227830,  0.42562633
07-May-26,CANBK,135.93,138.04, -0.01540345,  0.02020173,  0.02018058,  0.38554943,136.64,139, -0.01712420,  0.02024055,  0.02022617,  0.38642036,  0.02022617,  0.38642036
07-May-26,CDSL,1269.8,1282.8, -0.01018578,  0.02349873,  0.02345097,  0.44803007,1272.7,1288.5, -0.01233812,  0.02414830,  0.02410364,  0.46049939,  0.02410364,  0.46049939
07-May-26,CGPOWER,859.1,828.95,  0.03572549,  0.02191682,  0.02200749,  0.42045259,863.3,833.4,  0.03524854,  0.02193742,  0.02202399,  0.42076770,  0.02202399,  0.42076770
07-May-26,CHOLAFIN,1689.2,1711.9, -0.01334882,  0.02139114,  0.02135844,  0.40805247,1697.9,1722.6, -0.01444258,  0.02099579,  0.02096804,  0.40059391,  0.02135844,  0.40805247
07-May-26,CIPLA,1362.3,1364.4, -0.00154032,  0.01352234,  0.01348880,  0.25770308,1369.3,1370, -0.00051108,  0.01353411,  0.01350020,  0.25792100,  0.01350020,  0.25792100
07-May-26,COALINDIA,466.65,470.2, -0.00757862,  0.01603925,  0.01600815,  0.30583528,464.8,471.25, -0.01378153,  0.01624122,  0.01622993,  0.31007245,  0.01622993,  0.31007245
07-May-26,COCHINSHIP,1814.7,1753.1,  0.03453452,  0.02839557,  0.02842959,  0.54314656,1824.7,1759.4,  0.03644275,  0.02830563,  0.02835215,  0.54166703,  0.02842959,  0.54314656
07-May-26,COFORGE,1285.3,1280.4,  0.00381963,  0.02388045,  0.02382229,  0.45512423,1290.4,1289.3,  0.00085281,  0.02381763,  0.02375810,  0.45389783,  0.02382229,  0.45512423
07-May-26,COLPAL,2167,2157.1,  0.00457900,  0.01580326,  0.01576693,  0.30122681,2171.2,2164.6,  0.00304442,  0.01597972,  0.01594113,  0.30455484,  0.01594113,  0.30455484
07-May-26,CONCOR,526.7,524.2,  0.00475784,  0.01781921,  0.01777767,  0.33964193,529.1,527.6,  0.00283903,  0.01807662,  0.01803237,  0.34450802,  0.01803237,  0.34450802
07-May-26,CROMPTON,290.75,284.05,  0.02331351,  0.01865879,  0.01868494,  0.35697521,292.4,285.05,  0.02545812,  0.01880211,  0.01884126,  0.35996172,  0.01884126,  0.35996172
07-May-26,CUMMINSIND,5403,5324.5,  0.01463554,  0.01853645,  0.01851899,  0.35380481,5434.5,5348.5,  0.01595137,  0.01831398,  0.01830287,  0.34967593,  0.01851899,  0.35380481
07-May-26,DABUR,470,466.25,  0.00801072,  0.01445890,  0.01443383,  0.27575801,471.05,468.35,  0.00574837,  0.01445223,  0.01442189,  0.27552979,  0.01443383,  0.27575801
07-May-26,DALBHARAT,1974.3,1974.7, -0.00020258,  0.01754280,  0.01749890,  0.33431599,1985.4,1986.8, -0.00070490,  0.01779265,  0.01774823,  0.33907941,  0.01774823,  0.33907941
07-May-26,DELHIVERY,481.75,471,  0.02256721,  0.02031935,  0.02033131,  0.38842905,484.3,473.7,  0.02213034,  0.02041090,  0.02041974,  0.39011857,  0.02041974,  0.39011857
07-May-26,DIVISLAB,6702.5,6702,  0.00007460,  0.01532167,  0.01528320,  0.29198517,6737,6738.5, -0.00022263,  0.01519479,  0.01515671,  0.28956853,  0.01528320,  0.29198517
07-May-26,DIXON,11048,11299, -0.02246481,  0.02524482,  0.02523166,  0.48205025,11076,11360, -0.02531781,  0.02549791,  0.02549695,  0.48711847,  0.02549695,  0.48711847
07-May-26,DLF,618.85,609.6,  0.01505991,  0.01978738,  0.01976655,  0.37763931,620.5,614,  0.01053068,  0.01976637,  0.01973096,  0.37695953,  0.01976655,  0.37763931
07-May-26,DMART,4386.5,4432.2, -0.01036443,  0.01719967,  0.01717230,  0.32807637,4393.7,4432.6, -0.00881462,  0.01749140,  0.01745877,  0.33354938,  0.01745877,  0.33354938
07-May-26,DRREDDY,1307.6,1311, -0.00259681,  0.01508517,  0.01504845,  0.28750028,1302.9,1305.5, -0.00199356,  0.01505927,  0.01502218,  0.28699840,  0.01504845,  0.28750028
07-May-26,EICHERMOT,7327.5,7310.5,  0.00232272,  0.01748944,  0.01744642,  0.33331339,7359,7349.5,  0.00129177,  0.01720691,  0.01716415,  0.32792057,  0.01744642,  0.33331339
07-May-26,ETERNAL,257.42,256.04,  0.00537531,  0.02382548,  0.02376881,  0.45410243,258.63,257.83,  0.00309802,  0.02367062,  0.02361242,  0.45111470,  0.02376881,  0.45410243
07-May-26,EXIDEIND,364.45,351.7,  0.03561083,  0.01849685,  0.01862149,  0.35576313,365.3,353.3,  0.03340138,  0.01887702,  0.01897726,  0.36256013,  0.01897726,  0.36256013
07-May-26,FEDERALBNK,297.05,293,  0.01372787,  0.01659864,  0.01658538,  0.31686318,297.85,295,  0.00961465,  0.01634581,  0.01631920,  0.31177786,  0.01658538,  0.31686318
07-May-26,FINNIFTY,26449.5,26392.75,  0.00214790,  0.01134481,  0.01131722,  0.21621527,26567.5,26552.7,  0.00055723,  0.01105594,  0.01102816,  0.21069278,  0.01131722,  0.21621527
07-May-26,FORCEMOT,20702,20173,  0.02588524,  0.03405917,  0.03402323,  0.65001287,20747,20183,  0.02756099,  0.03440955,  0.03437874,  0.65680495,  0.03437874,  0.65680495
07-May-26,FORTIS,947.7,956.9, -0.00966090,  0.01840020,  0.01836692,  0.35089955,952.3,964.25, -0.01247049,  0.01815594,  0.01813200,  0.34641134,  0.01836692,  0.35089955
07-May-26,GAIL,167.27,165.68,  0.00955106,  0.01824864,  0.01821541,  0.34800487,168.14,166.36,  0.01064285,  0.01833717,  0.01830670,  0.34974893,  0.01830670,  0.34974893
07-May-26,GLENMARK,2371.6,2377.4, -0.00244262,  0.01879597,  0.01874976,  0.35821360,2382.6,2390.6, -0.00335205,  0.01880983,  0.01876425,  0.35849052,  0.01876425,  0.35849052
07-May-26,GMRAIRPORT,100.66,99.23,  0.01430811,  0.02114734,  0.02111865,  0.40347132,101.01,99.97,  0.01034938,  0.02140535,  0.02136433,  0.40816495,  0.02136433,  0.40816495
07-May-26,GODFRYPHLP,2340.4,2308,  0.01394051,  0.03679480,  0.03671597,  0.70145761,2352.8,2322.6,  0.01291886,  0.03675998,  0.03667939,  0.70075885,  0.03671597,  0.70145761
07-May-26,GODREJCP,1036.6,1094.1, -0.05398598,  0.01606182,  0.01647005,  0.31465985,1034.7,1098.2, -0.05956095,  0.01579264,  0.01630646,  0.31153439,  0.01647005,  0.31465985
07-May-26,GODREJPROP,1878.6,1867.2,  0.00608684,  0.02391500,  0.02385908,  0.45582704,1887.3,1878.2,  0.00483336,  0.02405817,  0.02400048,  0.45852843,  0.02400048,  0.45852843
07-May-26,GRASIM,2960.6,2914.7,  0.01562505,  0.01458004,  0.01458553,  0.27865624,2970.2,2935.4,  0.01178556,  0.01469172,  0.01467873,  0.28043683,  0.01467873,  0.28043683
07-May-26,HAL,4782.2,4627,  0.03299198,  0.02016807,  0.02025237,  0.38692104,4805.2,4646.2,  0.03364898,  0.02031629,  0.02040460,  0.38982925,  0.02040460,  0.38982925
07-May-26,HAVELLS,1268.9,1257.3,  0.00918382,  0.01602093,  0.01599401,  0.30556514,1269.9,1260.1,  0.00774707,  0.01630879,  0.01627729,  0.31097720,  0.01627729,  0.31097720
07-May-26,HCLTECH,1183.4,1189.1, -0.00480507,  0.01731523,  0.01727531,  0.33004434,1182.8,1191.9, -0.00766416,  0.01664137,  0.01660870,  0.31730881,  0.01727531,  0.33004434
07-May-26,HDFCAMC,2834.6,2815.9,  0.00661891,  0.02030142,  0.02025607,  0.38699164,2850.3,2836.1,  0.00499438,  0.02014298,  0.02009567,  0.38392727,  0.02025607,  0.38699164
